Zm00001d000001	 ppo1;polyphenol oxidase1: vegetative meristem cDNA 7C02D02	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042463	Two-component response regulator ARR11  	 [source: RefGen_v3] 
Zm00001d042467	ketose-bisphosphate aldolase class-II family protein	[source:homolog]
Zm00001d042468	Structural maintenance of chromosomes protein 2-2	[source:homolog]
Zm00001d042470	Protein kinase superfamily protein	[source:homolog]
Zm00001d042471	General transcription factor 2-related zinc finger protein	[source:homolog]
Zm00001d042472	Protein SCARECROW	[source:homolog]
Zm00001d042473	Peptide transporter PTR2  	 [source: RefGen_v3] 
Zm00001d042474	Probable carboxylesterase 11	[source:homolog]
Zm00001d042475	Probable thimet oligopeptidase	[source:homolog]
Zm00001d042476	Acid phosphatase/vanadium-dependent haloperoxidase-related protein	[source:homolog]
Zm00001d042478	GDP-L-galactose phosphorylase 1	[source:homolog]
Zm00001d042479	DNA repair protein recA homolog 3 mitochondrial	[source:homolog]
Zm00001d042480	U-box domain-containing protein 7	[source:homolog]
Zm00001d042481	OTU domain-containing protein 	[source:homolog]
Zm00001d042482	 bhlh132;bHLH-transcription factor 132: Locus designated and assigned to a transcription factor family by the GRASSIUS project (Yilmaz et al 2009) , which also provided the mappings to the B73_Reference Genome sequence v2 gene models.	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042486	Galactolipase DONGLE chloroplastic	[source:homolog]
Zm00001d042487	Sn1-specific diacylglycerol lipase alpha	[source:homolog]
Zm00001d042489	H-BTB1 - Bric-a-Brac Tramtrack Broad Complex BTB domain with H family conserved sequence expressed	[source:homolog]
Zm00001d042490	Glycosyltransferase  	 [source: RefGen_v3] 
Zm00001d042492	AP2-like ethylene-responsive transcription factor BBM	[source:homolog]
Zm00001d042493	Hydroxyproline-rich glycoprotein (HRGP)	[source:homolog]
Zm00001d042494	Pentatricopeptide repeat (PPR) superfamily protein	[source:homolog]
Zm00001d042498	QWRF motif-containing protein 6	[source:homolog]
Zm00001d042499	Probable methyltransferase PMT19	[source:homolog]
Zm00001d042500	PTI1-like tyrosine-protein kinase 3	[source:homolog]
Zm00001d042504	Patatin-like protein 2	[source:homolog]
Zm00001d042505	Sister chromatid cohesion 1 protein 4	[source:homolog]
Zm00001d042506	Formin-like protein 1	[source:homolog]
Zm00001d042507	Beta-glucosidase 42	[source:homolog]
Zm00001d042508	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d042509	Cytochrome P450 78A7	[source:homolog]
Zm00001d042510	Ribosomal protein L13 family protein	[source:homolog]
Zm00001d042511	Ribonuclease 2	[source:homolog]
Zm00001d042512	Ribonuclease 2	[source:homolog]
Zm00001d042513	Retrovirus-related Pol polyprotein LINE-1	[source:homolog]
Zm00001d042514	Ras-related protein Rab5	[source:homolog]
Zm00001d042516	DNA helicase homolog	[source:homolog]
Zm00001d042517	Sec20 family protein	[source:homolog]
Zm00001d042519	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d042523	Cell division cycle protein 27 homolog B	[source:homolog]
Zm00001d042524	DNA-directed RNA polymerase II subunit 1	[source:homolog]
Zm00001d042525	 rpl5a;60S ribosomal protein L5-1 homolog a: endosperm cDNA 5C05D11 (uaz189), similar to ribosomal protein	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042526	Rhodanese/Cell cycle control phosphatase superfamily protein	[source:homolog]
Zm00001d042528	Chromatin assembly factor 1 subunit FAS1	[source:homolog]
Zm00001d042530	Membrane-associated protein VIPP1 chloroplastic	[source:homolog]
Zm00001d042533	Trigger factor	[source:homolog]
Zm00001d042534	RING/FYVE/PHD zinc finger superfamily protein	[source:homolog]
Zm00001d042535	selenoprotein family protein	[source:homolog]
Zm00001d042536	 frk1;fructokinase1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042538	Phenylalanine ammonia-lyase 1	[source:homolog]
Zm00001d042539	Leukotriene A-4 hydrolase homolog	[source:homolog]
Zm00001d042540	Linoleate 9S-lipoxygenase 1	[source:homolog]
Zm00001d042541	 lox2;lipoxygenase2:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042543	Putative metallophosphoesterase 	[source:homolog]
Zm00001d042549	BTB/POZ and TAZ domain-containing protein 3	[source:homolog]
Zm00001d042550	MADS-box transcription factor family protein	[source:homolog]
Zm00001d042551	Integrin-linked protein kinase family	[source:homolog]
Zm00001d042552	40S ribosomal protein S8-1	[source:homolog]
Zm00001d042553	Pectin acetylesterase 5	[source:homolog]
Zm00001d042555	Zinc-binding dehydrogenase family protein	[source:homolog]
Zm00001d042556	Exopolygalacturonase clone GBGE184	[source:homolog]
Zm00001d042557	Serine/arginine-rich splicing factor SR45a	[source:homolog]
Zm00001d042558	TPR repeat-containing protein ZIP4	[source:homolog]
Zm00001d042560	LOB domain-containing protein 6  	 [source: RefGen_v3] 
Zm00001d042561	Mitogen-activated protein kinase kinase 9	[source:homolog]
Zm00001d042562	Mitogen-activated protein kinase kinase 9	[source:homolog]
Zm00001d042563	Mitogen-activated protein kinase kinase 9	[source:homolog]
Zm00001d042564	Mitogen-activated protein kinase kinase 9	[source:homolog]
Zm00001d042567	RNA polymerase III RPC4	[source:homolog]
Zm00001d042568	Mitogen-activated protein kinase kinase 9	[source:homolog]
Zm00001d042569	SRP72 RNA-binding domain	[source:homolog]
Zm00001d042574	Auxin-inducible protein  	 [source: RefGen_v3] 
Zm00001d042575	Serine/threonine-protein kinase RIO2  	 [source: RefGen_v3] 
Zm00001d042578	 mlo5;barley mlo defense gene homolog5: one of 9 seven-transmembrane homologues to barley powdery mildew defense response gene	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042580	NAC domain-containing protein 35	[source:homolog]
Zm00001d042581	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	[source:homolog]
Zm00001d042582	PHD finger protein  	 [source: RefGen_v3] 
Zm00001d042583	Class I peptide chain release factor	[source:homolog]
Zm00001d042584	 dmes1;diphosphocytidyl methyl erythritol synthase1: encodes 4-Diphosphocytidyl-2C-methyl-D-erythritol synthase	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042585	Protein root UVB sensitive 6	[source:homolog]
Zm00001d042588	AP2 domain containing protein  	 [source: RefGen_v3] 
Zm00001d042589	glycine-rich protein	[source:homolog]
Zm00001d042590	KH domain-containing protein /At1g09670	[source:homolog]
Zm00001d042591	Agamous-like MADS-box protein AGL11	[source:homolog]
Zm00001d042593	Transcriptional factor TINY  	 [source: RefGen_v3] 
Zm00001d042594	Anthocyanidin reductase	[source:homolog]
Zm00001d042595	Phosphoinositide phosphatase SAC2	[source:homolog]
Zm00001d042596	alpha/beta-Hydrolases superfamily protein	[source:homolog]
Zm00001d042598	TPX2 (targeting protein for Xklp2) protein family	[source:homolog]
Zm00001d042600	Cytochrome c-2	[source:homolog]
Zm00001d042601	SNARE associated Golgi protein family	[source:homolog]
Zm00001d042602	 protein; Selenium-binding protein-like	[source:homolog]
Zm00001d042605	zinc ion binding;DNA binding	[source:homolog]
Zm00001d042608	U-box domain-containing protein 4	[source:homolog]
Zm00001d042609	NAC domain-containing protein 48%3B NAC transcription factor  	 [source: RefGen_v3] 
Zm00001d042610	ATP binding protein	[source:homolog]
Zm00001d042611	 ga20ox3;gibberellin 20-oxidase3:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042612	Exosome complex component RRP45B	[source:homolog]
Zm00001d042613	RING/FYVE/PHD-type zinc finger family protein	[source:homolog]
Zm00001d042615	wound-responsive family protein	[source:homolog]
Zm00001d042618	Floral homeotic protein PISTILLATA	[source:homolog]
Zm00001d042619	Amino acid permease 2	[source:homolog]
Zm00001d042620	NAD(P)H-quinone oxidoreductase subunit N chloroplastic	[source:homolog]
Zm00001d042621	Probable magnesium transporter NIPA4	[source:homolog]
Zm00001d042623	Tyrosine-sulfated glycopeptide receptor 1	[source:homolog]
Zm00001d042624	Probable pectinesterase/pectinesterase inhibitor 51	[source:homolog]
Zm00001d042625	Pectinesterase  	 [source: RefGen_v3] 
Zm00001d042626	nitroreductase family protein	[source:homolog]
Zm00001d042627	UDP-glucuronate:xylan alpha-glucuronosyltransferase 1	[source:homolog]
Zm00001d042628	Retrotransposon-like protein	[source:homolog]
Zm00001d042631	DUF506 family protein	[source:homolog]
Zm00001d042632	Arabinanase/levansucrase/invertase	[source:homolog]
Zm00001d042634	Extradiol ring-cleavage dioxygenase	[source:homolog]
Zm00001d042636	Amino acid permease 6	[source:homolog]
Zm00001d042637	Leucine-rich receptor-like protein kinase family protein	[source:homolog]
Zm00001d042638	Whole genome shotgun sequence of line PN40024 scaffold_35.assembly12x (Fragment)	[source:homolog]
Zm00001d042639	Mitotic spindle checkpoint protein MAD1	[source:homolog]
Zm00001d042640	SnRK1-interacting protein 1  	 [source: RefGen_v3] 
Zm00001d042641	RNA-binding (RRM/RBD/RNP motifs) family protein	[source:homolog]
Zm00001d042642	RNA-binding (RRM/RBD/RNP motifs) family protein	[source:homolog]
Zm00001d042643	Galactose-binding protein	[source:homolog]
Zm00001d042644	ATP binding microtubule motor family protein	[source:homolog]
Zm00001d042645	Guanine nucleotide exchange factor SPIKE 1	[source:homolog]
Zm00001d042646	Receptor-like kinase-like	[source:homolog]
Zm00001d042647	Protein PLASTID MOVEMENT IMPAIRED 1-RELATED 1	[source:homolog]
Zm00001d042649	protein kinase-related	[source:homolog]
Zm00001d042651	Chloride channel protein  	 [source: RefGen_v3] 
Zm00001d042652	Core-2/I-branching beta-16-N-acetylglucosaminyltransferase family protein	[source:homolog]
Zm00001d042653	HSP40/DnaJ peptide-binding protein	[source:homolog]
Zm00001d042654	Beta-galactosidase  	 [source: RefGen_v3] 
Zm00001d042655	signal recognition particle receptor alpha subunit family protein	[source:homolog]
Zm00001d042656	Beta-galactosidase 16	[source:homolog]
Zm00001d042657	Ubiquitin-like domain-containing CTD phosphatase	[source:homolog]
Zm00001d042658	Adenine nucleotide alpha hydrolases-like superfamily protein	[source:homolog]
Zm00001d042659	Protein SRC2 homolog	[source:homolog]
Zm00001d042661	Serine hydroxymethyltransferase 7	[source:homolog]
Zm00001d042662	Putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1D	[source:homolog]
Zm00001d042663	5'-3' exonuclease family protein	[source:homolog]
Zm00001d042664	Patellin-1	[source:homolog]
Zm00001d042665	Transcription repressor MYB6	[source:homolog]
Zm00001d042667	P-loop containing nucleoside triphosphate hydrolases superfamily protein	[source:homolog]
Zm00001d042668	late embryogenesis abundant protein	[source:homolog]
Zm00001d042670	Erythroid differentiation-related factor 1-like protein;  protein	[source:homolog]
Zm00001d042672	Probable magnesium transporter NIPA6	[source:homolog]
Zm00001d042673	Amidophosphoribosyltransferase  	 [source: RefGen_v3] 
Zm00001d042675	ARM repeat superfamily protein	[source:homolog]
Zm00001d042676	 pdk3;phosphoinositide dependent protein kinase3:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042677	SKP1-like protein 1A	[source:homolog]
Zm00001d042680	Protein NRT1/ PTR FAMILY 5.10	[source:homolog]
Zm00001d042683	POT family protein  	 [source: RefGen_v3] 
Zm00001d042684	Protein NRT1/ PTR FAMILY 5.10	[source:homolog]
Zm00001d042685	 got4;glutamate-oxaloacetate transaminase4: putative aspartate aminotransferase; cytosolic (PPDB prediction; Sun et al 2009)	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042686	Protein SENSITIVE TO PROTON RHIZOTOXICITY 1	[source:homolog]
Zm00001d042690	Embryogenesis-associated protein EMB8  	 [source: RefGen_v3] 
Zm00001d042691	DNA repair protein XRCC2 homolog	[source:homolog]
Zm00001d042692	Protein TRANSPARENT TESTA 12	[source:homolog]
Zm00001d042694	Putative ion channel protein POLLUX  	 [source: RefGen_v3] 
Zm00001d042695	Serine/threonine-protein kinase SRK2A	[source:homolog]
Zm00001d042697	 psbs1;photosystem II subunit PsbS1: subunit elicits defense against destructive effects of excess absorbed light energy	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042699	TRAM LAG1 and CLN8 (TLC) lipid-sensing domain containing protein	[source:homolog]
Zm00001d042702	DNA topoisomerase 1 beta	[source:homolog]
Zm00001d042706	ARM repeat superfamily protein	[source:homolog]
Zm00001d042708	Tudor/PWWP/MBT superfamily protein	[source:homolog]
Zm00001d042709	NPL4-like protein 1	[source:homolog]
Zm00001d042711	Aspartic proteinase A1	[source:homolog]
Zm00001d042713	DNA polymerase alpha catalytic subunit	[source:homolog]
Zm00001d042714	Protein S-acyltransferase 8	[source:homolog]
Zm00001d042717	Ethylene-responsive transcription factor ABR1	[source:homolog]
Zm00001d042718	Protein LIKE COV 2	[source:homolog]
Zm00001d042719	Integral membrane Yip1 family protein	[source:homolog]
Zm00001d042720	Sterol 3-beta-glucosyltransferase  	 [source: RefGen_v3] 
Zm00001d042721	G-box-binding factor 4	[source:homolog]
Zm00001d042723	Omega-hydroxypalmitate O-feruloyl transferase	[source:homolog]
Zm00001d042724	 tubtf2;TUB-transcription factor 2: Locus designated and assigned to a transcription factor family by the GRASSIUS project (Yilmaz et al 2009) , which also provided the mappings to the B73_Reference Genome sequence v2 gene models.	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042725	Sm-like protein LSM3B	[source:homolog]
Zm00001d042726	Protein BOLA2	[source:homolog]
Zm00001d042727	Fructose-16-bisphosphatase cytosolic	[source:homolog]
Zm00001d042729	VAMP-like protein YKT61	[source:homolog]
Zm00001d042730	Histone H3  	 [source: RefGen_v3] 
Zm00001d042731	Actin-7	[source:homolog]
Zm00001d042732	Peptidase family M48 family protein	[source:homolog]
Zm00001d042733	Ubiquitin carboxyl-terminal hydrolase 3	[source:homolog]
Zm00001d042734	saposin B domain-containing protein	[source:homolog]
Zm00001d042735	RING-H2 finger protein ATL79	[source:homolog]
Zm00001d042736	Dof zinc finger protein DOF1.2	[source:homolog]
Zm00001d042737	ARM repeat superfamily protein	[source:homolog]
Zm00001d042738	E3 ubiquitin-protein ligase PUB23	[source:homolog]
Zm00001d042739	Anthocyanidin 3-O-glucosyltransferase  	 [source: RefGen_v3] 
Zm00001d042740	UDP-glycosyltransferase 91A1	[source:homolog]
Zm00001d042742	BTB/POZ domain-containing protein 	[source:homolog]
Zm00001d042746	Uricase  	 [source: RefGen_v3] 
Zm00001d042747	Serine/threonine-protein kinase Nek5	[source:homolog]
Zm00001d042748	Protein YLS9	[source:homolog]
Zm00001d042749	Protein YLS9	[source:homolog]
Zm00001d042750	Protein YLS9	[source:homolog]
Zm00001d042752	Plant-specific domain TIGR01568 family protein  	 [source: RefGen_v3] 
Zm00001d042753	Transcription repressor OFP13	[source:homolog]
Zm00001d042756	Duplicated homeodomain-like superfamily protein	[source:homolog]
Zm00001d042758	NAC domain-containing protein 90	[source:homolog]
Zm00001d042760	senescence regulator	[source:homolog]
Zm00001d042761	Sorting nexin 1	[source:homolog]
Zm00001d042762	Catalytic/ hydrolase  	 [source: RefGen_v3] 
Zm00001d042764	hemerythrin HHE cation-binding domain protein	[source:homolog]
Zm00001d042766	Expressed protein;  protein	[source:homolog]
Zm00001d042767	Glucan endo-13-beta-glucosidase 14	[source:homolog]
Zm00001d042768	Hevamine-A  	 [source: RefGen_v3] 
Zm00001d042769	Acidic endochitinase	[source:homolog]
Zm00001d042770	Acidic endochitinase	[source:homolog]
Zm00001d042771	Acidic endochitinase	[source:homolog]
Zm00001d042772	Ribosomal protein  	 [source: RefGen_v3] 
Zm00001d042774	F-box/LRR-repeat protein 	[source:homolog]
Zm00001d042777	bzip11;Basic leucine zipper protein%3B Liguleless2  	 [source: RefGen_v3] 
Zm00001d042778	Dual specificity protein phosphatase Diacylglycerol kinase catalytic region	[source:homolog]
Zm00001d042779	Protein ABSCISIC ACID-INSENSITIVE 5	[source:homolog]
Zm00001d042780	alpha/beta-Hydrolases superfamily protein	[source:homolog]
Zm00001d042781	Zinc finger protein WIP6	[source:homolog]
Zm00001d042786	Beta-16-galactosyltransferase GALT29A	[source:homolog]
Zm00001d042787	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	[source:homolog]
Zm00001d042792	Transcription initiation factor TFIID subunit 12	[source:homolog]
Zm00001d042793	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d042794	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d042796	G10 family protein	[source:homolog]
Zm00001d042799	G10 family protein	[source:homolog]
Zm00001d042800	Protein BUD31-like protein 1	[source:homolog]
Zm00001d042801	GABA transporter 1	[source:homolog]
Zm00001d042802	Probable 3-deoxy-D-manno-octulosonic acid transferase mitochondrial	[source:homolog]
Zm00001d042804	RNA polymerase II C-terminal domain phosphatase-like 2	[source:homolog]
Zm00001d042807	RNA-binding protein-related	[source:homolog]
Zm00001d042808	 atl1;auxin transporter-like1: mutant tassels have reduced branch numbers; bald tip on ears with fewer spikelets per row, and agravitropic root growth	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042809	 plt1;phospholipid transfer protein homolog1: amino acid sequence, deduced from coleoptile cDNA, homologous to phospholipid transfer proteins	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042810	Cell division control protein 6 homolog B	[source:homolog]
Zm00001d042811	Nematode resistance protein-like HSPRO2	[source:homolog]
Zm00001d042812	Tetratricopeptide repeat (TPR)-like superfamily protein	[source:homolog]
Zm00001d042813	 gpat1;glycerol-3-phosphosphate acyltransferase1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042814	Cytochrome P450 86A1	[source:homolog]
Zm00001d042817	UDP-glucuronate:xylan alpha-glucuronosyltransferase 2	[source:homolog]
Zm00001d042820	Exostosin family protein	[source:homolog]
Zm00001d042821	Putative wuschel homeobox protein  	 [source: RefGen_v3] 
Zm00001d042825	General transcription factor 2-related zinc finger protein	[source:homolog]
Zm00001d042826	AER  	 [source: RefGen_v3] 
Zm00001d042827	DNA polymerase epsilon catalytic subunit A	[source:homolog]
Zm00001d042829	DNA-binding enhancer protein-related	[source:homolog]
Zm00001d042830	Duplicated homeodomain-like superfamily protein	[source:homolog]
Zm00001d042833	Coronatine-insensitive protein 1	[source:homolog]
Zm00001d042835	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain	[source:homolog]
Zm00001d042837	UPF0503 protein  chloroplastic	[source:homolog]
Zm00001d042840	Sedoheptulose-17-bisphosphatase chloroplastic	[source:homolog]
Zm00001d042841	Probable anion transporter 4 chloroplastic	[source:homolog]
Zm00001d042842	 pho2;starch phoshorylase2: cytosolic starch phosphorylase inferred from data in Yu et al 2001 (MS 2015)	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042843	 na1;nana plant1: short, erect dwarf; no response to gibberellins	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042845	Ataxin-3 homolog	[source:homolog]
Zm00001d042846	Reticulon-like protein B12	[source:homolog]
Zm00001d042847	Protein kinase  	 [source: RefGen_v3] 
Zm00001d042848	Laccase-7	[source:homolog]
Zm00001d042850	RING/FYVE/PHD zinc finger superfamily protein	[source:homolog]
Zm00001d042851	Phosphatidylinositol:ceramide inositolphosphotransferase 1	[source:homolog]
Zm00001d042852	Scarecrow-like protein 6	[source:homolog]
Zm00001d042861	Rop guanine nucleotide exchange factor 7	[source:homolog]
Zm00001d042862	Lipid binding protein  	 [source: RefGen_v3] 
Zm00001d042864	BEL1-like homeodomain protein 9	[source:homolog]
Zm00001d042866	PRA1 family protein A1	[source:homolog]
Zm00001d042867	 bbi1;bowman-birk inhibitor1: encodes a bioactive Bowman-Birk Inhibitor that apparently confers insect resistance	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042868	Aldo-keto reductase family 4 member C9	[source:homolog]
Zm00001d042869	Aldose reductase  	 [source: RefGen_v3] 
Zm00001d042870	Phospholipid:diacylglycerol acyltransferase 1	[source:homolog]
Zm00001d042872	CASP-like protein 14  	 [source: RefGen_v3] 
Zm00001d042874	Mannose-1-phosphate guanylyltransferase 1	[source:homolog]
Zm00001d042876	Phospholipid/glycerol acyltransferase family protein	[source:homolog]
Zm00001d042879	Transcription initiation factor TFIID subunit 12b	[source:homolog]
Zm00001d042880	 rcc1;regulator of chromosome condensation1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042881	Probable UDP-arabinopyranose mutase 5	[source:homolog]
Zm00001d042883	Probable methyltransferase PMT10	[source:homolog]
Zm00001d042884	Acyl-coenzyme A oxidase  	 [source: RefGen_v3] 
Zm00001d042885	Protein HESO1	[source:homolog]
Zm00001d042886	 prh3;protein phosphatase homolog3:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042892	response regulator 20	[source:homolog]
Zm00001d042898	Aspartic proteinase PCS1	[source:homolog]
Zm00001d042899	Probable protein S-acyltransferase 16	[source:homolog]
Zm00001d042900	ROTUNDIFOLIA like 8	[source:homolog]
Zm00001d042901	L-ascorbate oxidase  	 [source: RefGen_v3] 
Zm00001d042903	Probable WRKY transcription factor 49	[source:homolog]
Zm00001d042905	Laccase-17	[source:homolog]
Zm00001d042906	Laccase-17	[source:homolog]
Zm00001d042908	Ribonuclease II chloroplastic/mitochondrial	[source:homolog]
Zm00001d042909	Elicitor-responsive protein 1  	 [source: RefGen_v3] 
Zm00001d042910	myb domain protein 3r-3	[source:homolog]
Zm00001d042911	EMB2745  	 [source: RefGen_v3] 
Zm00001d042912	Carbohydrate-binding X8 domain superfamily protein	[source:homolog]
Zm00001d042915	NF-E2 inducible protein-like;  protein	[source:homolog]
Zm00001d042916	O-fucosyltransferase family protein	[source:homolog]
Zm00001d042917	Trihelix transcription factor ASIL2	[source:homolog]
Zm00001d042918	ENTH/VHS family protein	[source:homolog]
Zm00001d042920	WUSCHEL-related homeobox 2	[source:homolog]
Zm00001d042921	SLT1 protein  	 [source: RefGen_v3] 
Zm00001d042922	Probable mediator of RNA polymerase II transcription subunit 37c	[source:homolog]
Zm00001d042923	HVA22-like protein k	[source:homolog]
Zm00001d042926	Osmotin-like protein  	 [source: RefGen_v3] 
Zm00001d042929	Ubiquitin-conjugating enzyme E2 7  	 [source: RefGen_v3] 
Zm00001d042930	 his2b4;histone 2B4: genomic sequence selected with his2B cDNA probe	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042931	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d042932	Protein UPSTREAM OF FLC	[source:homolog]
Zm00001d042933	Zinc finger protein ZAT11	[source:homolog]
Zm00001d042934	 znf6;zinc finger protein6:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042938	Serine/threonine-protein kinase AFC1	[source:homolog]
Zm00001d042939	Metal tolerance protein 11	[source:homolog]
Zm00001d042940	plant-specific domain TIGR01589 family protein expressed	[source:homolog]
Zm00001d042941	RuvB-like protein 1	[source:homolog]
Zm00001d042943	UDP-glucuronic acid decarboxylase 1	[source:homolog]
Zm00001d042944	alpha/beta-Hydrolases superfamily protein	[source:homolog]
Zm00001d042946	Pectin lyase-like superfamily protein	[source:homolog]
Zm00001d042948	Protein binding protein  	 [source: RefGen_v3] 
Zm00001d042949	Probable membrane-associated kinase regulator 4	[source:homolog]
Zm00001d042950	Lung seven transmembrane receptor family protein	[source:homolog]
Zm00001d042952	Transducin family protein / WD-40 repeat family protein	[source:homolog]
Zm00001d042953	ABC transporter G family member 6	[source:homolog]
Zm00001d042954	Histone H4  	 [source: RefGen_v3] 
Zm00001d042955	Protein NETWORKED 2D	[source:homolog]
Zm00001d042958	CCT motif family protein	[source:homolog]
Zm00001d042960	AT hook motif family protein  	 [source: RefGen_v3] 
Zm00001d042961	 rboh1;respiratory burst oxidase1: mutant displays defects in root hair initiation and elongation manifested by a reduced density and length of root hairs.	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042962	Ypt/Rab-GAP domain of gyp1p superfamily protein	[source:homolog]
Zm00001d042965	Nucleic acid binding protein  	 [source: RefGen_v3] 
Zm00001d042966	40S ribosomal protein S23-2	[source:homolog]
Zm00001d042967	DNA replication licensing factor MCM3	[source:homolog]
Zm00001d042968	Nuclear transcription factor Y subunit B-8	[source:homolog]
Zm00001d042969	V-type proton ATPase subunit a1	[source:homolog]
Zm00001d042970	Pollen receptor-like kinase 4	[source:homolog]
Zm00001d042972	Interactor of constitutive active ROPs 3	[source:homolog]
Zm00001d042973	IQ-domain 3	[source:homolog]
Zm00001d042974	Histone deacetylase 10  	 [source: RefGen_v3] 
Zm00001d042975	Serine carboxypeptidase-like 27	[source:homolog]
Zm00001d042976	ureidoglycolate hydrolases	[source:homolog]
Zm00001d042977	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	[source:homolog]
Zm00001d042978	Pentatricopeptide repeat-containing protein  chloroplastic	[source:homolog]
Zm00001d042979	ATP binding protein  	 [source: RefGen_v3] 
Zm00001d042980	jasmonate-regulated gene 21	[source:homolog]
Zm00001d042982	 rte5;rotten ear5: phylogenetically related to Class II clade boron transporters	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d042983	Pectinesterase 31	[source:homolog]
Zm00001d042985	BAG family molecular chaperone regulator 4	[source:homolog]
Zm00001d042988	Transcription factor bHLH83	[source:homolog]
Zm00001d042989	Transcription factor bHLH83	[source:homolog]
Zm00001d042993	Protein ESKIMO 1	[source:homolog]
Zm00001d042994	Replication protein-like	[source:homolog]
Zm00001d042996	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	[source:homolog]
Zm00001d042997	HIT-type Zinc finger family protein	[source:homolog]
Zm00001d042998	UPF0051 protein ABCI8 chloroplastic	[source:homolog]
Zm00001d042999	TRF-like 10	[source:homolog]
Zm00001d043000	Gibberellin receptor GID1	[source:homolog]
Zm00001d043003	Gibberellin receptor GID1	[source:homolog]
Zm00001d043006	Glutaredoxin family protein	[source:homolog]
Zm00001d043007	Retrovirus-related Pol polyprotein LINE-1	[source:homolog]
Zm00001d043009	Thioredoxin family protein  	 [source: RefGen_v3] 
Zm00001d043011	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5	[source:homolog]
Zm00001d043012	Probable methyltransferase PMT23	[source:homolog]
Zm00001d043013	NAD(P)-binding Rossmann-fold superfamily protein	[source:homolog]
Zm00001d043014	Abscisic acid receptor PYL5	[source:homolog]
Zm00001d043015	exocyst subunit exo70 family protein B2	[source:homolog]
Zm00001d043016	F-box protein 	[source:homolog]
Zm00001d043017	late embryogenesis abundant protein	[source:homolog]
Zm00001d043018	PRA1 family protein B4	[source:homolog]
Zm00001d043019	Laccase-13	[source:homolog]
Zm00001d043022	Sorting nexin 2B	[source:homolog]
Zm00001d043023	Protein RETICULATA-RELATED 6 chloroplastic	[source:homolog]
Zm00001d043025	Probable WRKY transcription factor 33	[source:homolog]
Zm00001d043026	PLAC8 family protein	[source:homolog]
Zm00001d043029	ENTH/VHS/GAT family protein	[source:homolog]
Zm00001d043031	Nodulin-like protein  	 [source: RefGen_v3] 
Zm00001d043035	P-loop containing nucleoside triphosphate hydrolases superfamily protein	[source:homolog]
Zm00001d043036	LOB domain-containing protein 13	[source:homolog]
Zm00001d043038	CBL-interacting serine/threonine-protein kinase 10	[source:homolog]
Zm00001d043039	EPIDERMAL PATTERNING FACTOR-like protein 6	[source:homolog]
Zm00001d043041	Probable xyloglucan 6-xylosyltransferase 5	[source:homolog]
Zm00001d043043	U-box domain-containing protein 16	[source:homolog]
Zm00001d043044	Sec1/munc18-like (SM) proteins superfamily	[source:homolog]
Zm00001d043046	Transcription repressor OFP1	[source:homolog]
Zm00001d043047	Expansin-A2	[source:homolog]
Zm00001d043048	Cysteine protease 1	[source:homolog]
Zm00001d043049	 plt3;phospholipid transfer protein homolog3:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d043050	RING-H2 finger protein ATL74	[source:homolog]
